nombre,slug,descripcion,fabricante,imagen,badge,badge_color,color_gradient,activo,orden
"Kit Medidor De Ozono",kit-medidor-de-ozono,"El HI38054 es un kit químico de prueba que determina la concentración de ozono en muestras con un rango de 0.0 a 2.3 mg/L de ozono. El HI38054 se suministra con todos los reactivos y accesorios necesarios para realizar el análisis, incluyendo el disco Checker® para una determinación precisa. El kit de prueba contiene suficientes reactivos para realizar aproximadamente 100 pruebas.",Nacional,assets/img/catalogo/kit-medidor-de-ozono.webp,,,"from-[#1a1a0a] to-[#3a3a1a]",1,39
"Kit De Prueba Para Cloro",kit-de-prueba-para-cloro,"El kit de pruebas para cloro de HANNA HI3815 es rápido, de fácil uso y portátil y, a excepción de la solución del nitrato de mercurio, prácticamente evita heridas accidentales o daños debidos a derramamientos. El pH es reducido a aproximadamente 3 mediante la adición de ácido nítrico. Los iones de mercurio reaccionan con los iones de cloro para formar cloruro de mercurio; cuando hay exceso de iones de mercurio, hace complejo con difenilcarbazona para formar una solución púrpura. El cambio de color de amarillo a púrpura determina el punto final de esta titulación.- Método: Titulación -Rango: 0-100 mg/L (ppm) 0-1000 mg/L (ppm)-Menor Incremento: 1 mg/L (ppm) 10 mg/L (ppm)-# De pruebas: 110 prom.",Importado,assets/img/catalogo/kit-de-prueba-para-cloro.webp,Destacado,teal,"from-[#1A3A2F] to-[#2d6a4f]",1,38
"Kit De Prueba De Dureza",kit-de-prueba-de-dureza,"El nivel de dureza como mg/L (ppm) de carbonato de calcio es determinado por una titulación de EDTA (Ácidoetilendiaminotetraacético). La dureza del agua se debe principalmente a la presencia de iones de calcio y magnesio. Además, otros tipos de iones como el hierro, el zinc y el manganeso también contribuyen a la presencia de la dureza total. Es fundamental controlar la dureza a fin de prevenir las incrustaciones en las tuberías de las instalaciones. Kit para la dureza HANNA HI3812-Método: titulación-Rango 0.0-30.0 mg/L (ppm) 0-300 mg/L (ppm)-Menor Incremento 0.3 mg/L (ppm) 3 mg/L (ppm)-Método químico EDTA-# De pruebas 100 prom.",Nacional,assets/img/catalogo/kit-de-prueba-de-dureza.webp,,,"from-[#2a1a2a] to-[#4a2a4a]",1,37
"Kit De Prueba De Alcalinidad",kit-de-prueba-de-alcalinidad,"La alcalinidad es importante en la determinación de las propiedades corrosivas del agua, causadas por los carbonatos, bicarbonatos y sales disueltas.El HI3811 es un kit de prueba de química basada en la valoración que determina la concentración de la alcalinidad en muestras dentro de un 0 a 100 mg / L (ppm) CaCO 3 o de 0 a 300 mg / L de CaCO 3 rango. El HI3811 se suministra con todos los reactivos y equipos necesarios para realizar el análisis. El kit de prueba contiene suficientes reactivos para realizar aproximadamente 110 pruebas.",Importado,assets/img/catalogo/kit-de-prueba-de-alcalinidad.webp,,,"from-[#1a1a0a] to-[#3a3a1a]",1,36
"Instrumentos De Ensayo",instrumentos-de-ensayo,"Contamos con:BALÓN FONDO REDONDO BORO3.3 
BALON FONDO PLANO BORO3.3 
FIOLA DE VIDRIO
FIOLA DE VIDRIO CON TAPA PLÁSTICO
MATRAZ
PIPETA GRADUADA
PIPETA SEROLÓGICA
PROBETA BASE HEXAGONAL
VASO FORMA BAJA
VASO PRECIPITADO
BURBUJEADOR
FRASCO ESTÉRIL TAPA AZUL",Nacional,assets/img/catalogo/instrumentos-de-ensayo.webp,,,"from-[#1a2a4a] to-[#2d4a7a]",1,35
"Hipoclorito De Sodio",hipoclorito-de-sodio,"Hipoclorito de sodio al 7.5% de concentración.","Certificado ISO",assets/img/catalogo/hipoclorito-de-sodio.webp,,,"from-[#0a1a0a] to-[#1a3a1a]",1,34
"Hipoclorito De Calcio",hipoclorito-de-calcio,"El Hipoclorito de Calcio es un poderoso agente desinfectante, fuerte oxidante, germicida, bactericida y blanqueador de aspecto granulado y color blanco. Ampliamente utilizado en la limpieza de piscinas, plantas de agua, pozos de agua, en plantas de procesamiento de alimentos y bebidas, agricultura, entre otros, por su alto contenido de cloro disponible, facilidad de disolución, menor contenido de insolubles y facilidad de manejo.",Nacional,assets/img/catalogo/hipoclorito-de-calcio.webp,Destacado,purple,"from-[#1a2a4a] to-[#2d4a7a]",1,33
"Hipoclorito De Calcio Granulado",hipoclorito-de-calcio-granulado,"Hipoclorito de calcio al 65-70% de concentración.",Importado,assets/img/catalogo/hipoclorito-de-calcio-granulado.webp,,,"from-[#0d2137] to-[#1a3a5c]",1,32
"Grava De Cuarzo",grava-de-cuarzo,"Para usarse bajo cualquiera de los materiales filtrantes anteriores, como lecho soporte. Asimismo en los filtros de grava y arena de cuarzo, como material de filtración en diferentes granulometrias. Granulometrías: 1/8”, ¼”, ½”, 1”.",Importado,assets/img/catalogo/grava-de-cuarzo.webp,,,"from-[#1a1a0a] to-[#3a3a1a]",1,31
"Generador De Ozono",generador-de-ozono,"El ozono es uno de los gases con mayor poder oxidante. En la industria de agua embotellada se utiliza como un tratamiento de desinfección final para el agua. Tiene la enorme ventaja que permanece en el agua un tiempo lo cual permite que el envase (garrafón) sea esterilizado también asegurando la mejor calidad bacteriológica y una larga vida de anaquel al producto. Después de que actúa, el ozono desaparece completamente reconvirtiéndose en oxígeno.",Importado,assets/img/catalogo/generador-de-ozono.webp,Destacado,teal,"from-[#1a1a0a] to-[#3a3a1a]",1,30
"Filtros Cartuchos Plisados",filtros-cartuchos-plisados,"Los filtros plisados son ideales para evitar el ingreso de suciedad al agua de red del hogar, empresa e industria. Este filtro puede utilizarse como etapa previa de cualquier tecnología de filtrado para obtener agua libre de sedimentación macroscópica. Contamos con filtros plisados en las marcas PENTEK (USA) e HYDRONIX (USA) en diferentes tamaños.Tamaños disponibles:
4.5” de diámetro por longitudes de 10” Y 20”.
2.5” de diámetro por longitudes de 10” hasta 40”.

Los micronajes de los cartuchos de sedimentos comienzan desde 1 micra hasta 50 micras.","Certificado ISO",assets/img/catalogo/filtros-cartuchos-plisados.webp,,,"from-[#1a0a0a] to-[#3a1a0a]",1,29
"Filtros Cartuchos De Sedimento",filtros-cartuchos-de-sedimento,"El filtro de sedimentos para agua actúa como pantalla para remover las partículas transportadas en el agua.Contamos con filtros de sedimentos en las marcas PENTEK (USA) e HYDRONIX (USA) en diferentes tamaños.Tamaños disponibles:
4.5” de diámetro por longitudes de 10” y 20”.
2.5” de diámetro por longitudes de 10” hasta 50”.
Los micronajes de los cartuchos de sedimentos comienzan desde 1 micra hasta 75 micras.","Certificado ISO",assets/img/catalogo/filtros-cartuchos-de-sedimento.webp,Destacado,purple,"from-[#0d2137] to-[#1a3a5c]",1,28
"Filtros Cartuchos De Carbon Activado",filtros-cartuchos-de-carbon-activado,"Los filtros de carbón activo para agua sirven para remover sabor, olor, químicos orgánicos y cloro. Pueden utilizarse por ejemplo en aplicaciones residenciales, servicio alimenticio, comercial e industrial. Son Filtros de alta calidad y son ideales para aplicaciones de ósmosis inversa y de punto de uso (POU).Contamos con filtros de carbón activo en las marcas PENTEK (USA) e HYDRONIX (USA) en diferentes tamaños.Tamaños disponibles:
4.5” de diámetro por longitudes de 10” y 20”.
2.5” de diámetro por longitudes de 10” y 20”.

Los micronajes de los cartuchos de sedimentos comienzan desde 0.5 micra hasta 10 micras.",Importado,assets/img/catalogo/filtros-cartuchos-de-carbon-activado.webp,,,"from-[#4a3800] to-[#7a5c00]",1,27
"Filtro De Multimedia",filtro-de-multimedia,"Los Filtros multimedia están diseñados para poder filtrar sólidos suspendidos en el agua por medio de varias capas de medios filtrantes de más grueso a más fino. Este diseño hace que las partículas más grandes queden atrapadas en las capas superiores y las más pequeñas en las inferiores. Nuestro filtro de multimedia maximiza la capacidad de atrapar partículas que pueden ser arenilla, óxidos, orgánicos y sedimentos en general desde 10-15 micrones a más. Medios filtrantes (antracita, garnet, grava y arena).",Nacional,assets/img/catalogo/filtro-de-multimedia.webp,Nuevo,teal,"from-[#1a1a0a] to-[#3a3a1a]",1,26
"Filtro De Carbon Activado",filtro-de-carbon-activado,"Nuestros filtros multimedia permiten remover cloro residual y materia orgánica causantes de desagradables sabores, olores y colores del agua. Están compuestos por varias capas de medios filtrantes de diferentes densidades y tamaño de partículas, acomodados uno sobre el otro.Los Filtros de carbón activado son equipos que contienen carbón activado granular, como medio de filtración para remover componentes naturales y/o industriales del agua.",Nacional,assets/img/catalogo/filtro-de-carbon-activado.webp,,,"from-[#1a2a4a] to-[#2d4a7a]",1,25
"Equipos Ultravioleta Viqua",equipos-ultravioleta-viqua,"Los equipos de desinfección ultravioleta, canalizan el agua a través de lámparas que emiten altas dosis de rayos UV para eliminar bacterias, amebas y virus, sin alterar el sabor, olor y color del agua.En la industria se utiliza como un tratamiento de desinfección del agua en puntos de uso con el objetivo de asegurar la calidad bacteriológica del producto final, desactivando efectivamente las bacterias patogénas, esporas, virus y protozoos Contamos con equipos de diferentes capacidades, para uso residencial, comercial e industrial.","Certificado ISO",assets/img/catalogo/equipos-ultravioleta-viqua.webp,Destacado,green,"from-[#4a3800] to-[#7a5c00]",1,24
"Dioxido De Cloro Al 5 Dioxichlor 50dc",dioxido-de-cloro-al-5-dioxichlor-50dc,"Es una solución de Dióxido de Cloro Estabilizado al 5 % de concentración.",Nacional,assets/img/catalogo/dioxido-de-cloro-al-5-dioxichlor-50dc.webp,,,"from-[#1a2a1a] to-[#2d4a2d]",1,23
"Dioxido De Cloro Al 10 Dioxichlor 100dc",dioxido-de-cloro-al-10-dioxichlor-100dc,"Es una solución de Dióxido de Cloro Estabilizado al 5 % de concentración.",Importado,assets/img/catalogo/dioxido-de-cloro-al-10-dioxichlor-100dc.webp,,,"from-[#1A3A2F] to-[#2d6a4f]",1,22
Dioxichlor,dioxichlor,"Producto químico de alta calidad para tratamiento de agua e industria. Dioxichlor ofrece resultados consistentes y confiables en aplicaciones industriales y comerciales.",Nacional,assets/img/catalogo/dioxichlor.webp,Destacado,green,"from-[#2a1a2a] to-[#4a2a4a]",1,21
"Detergente Alcalino Desengrasante Detergras",detergente-alcalino-desengrasante-detergras,"Detergente líquido alcalino desengrasante, empleado en el lavado de forma MANUAL tanto interno como externo de botellones de policarbonato y polietileno. Presentación: ENVASE x 30 KILOS",Nacional,assets/img/catalogo/detergente-alcalino-desengrasante-detergras.webp,,,"from-[#0a1a1a] to-[#1a3a3a]",1,20
"Deterflash Detergente No Caustico De Baja Espuma",deterflash-detergente-no-caustico-de-baja-espuma,"Detergente líquido, no caústico, removedor de suciedad y bactericida, especial para el lavado de botellones de policarbonato, polietileno y similares en máquina lavadoras. ENVASE x 35 KILOS",Nacional,assets/img/catalogo/deterflash-detergente-no-caustico-de-baja-espuma.webp,,,"from-[#1a0a0a] to-[#3a1a0a]",1,19
"Desinfectante A Base De Cloro Y Dioxido De Clor Dioxichlor Sdq",desinfectante-a-base-de-cloro-y-dioxido-de-clor-dioxichlor-sdq,"Producto líquido formulado a base de DIOXIDO DE CLORO estabilizado, con HIPOCLORITOS de alta concentración. El producto resultante es un líquido homogéneo y de fácil compatibilidad con el agua cruda, y tiene un poder desinfectante mucho mayor que los hipocloritos de sodio o de calcio",Importado,assets/img/catalogo/desinfectante-a-base-de-cloro-y-dioxido-de-clor-dioxichlor-sdq.webp,,,"from-[#0d2137] to-[#1a3a5c]",1,18
"Desincrustante De Raiz Acida Suave Desincrust Oms",desincrustante-de-raiz-acida-suave-desincrust-oms,"Producto líquido de raíz ácida. Se utiliza para realizar una limpieza química de desincrustación y remoción de sales y materia orgánica de las membranas osmóticas, con la finalidad de mantenerlas en buen estado de operación y conservarlas por largos periodos. ENVASE x 1.00 y 5.00 Galones",Nacional,assets/img/catalogo/desincrustante-de-raiz-acida-suave-desincrust-oms.webp,,,"from-[#1a1a0a] to-[#3a3a1a]",1,17
"Conectores Rapidos",conectores-rapidos,"Los conectores rápidos le ofrecen un producto de ingeniería de calidad diseñado para brindarle un conector confiable para una conexión confiable. Además, los accesorios de conexión rápida han sido probados por NSF International según la norma 61 de NSF / ANSI y cumplen con los requisitos de la FDA para todos los materiales en contacto con alimentos y agua potable.",Nacional,assets/img/catalogo/conectores-rapidos.webp,,,"from-[#1A3A2F] to-[#2d6a4f]",1,16
"Comparador De Cloro",comparador-de-cloro,"Kit para determinar Cloro Libre y pH en Agua Potable o Piscinas.Cumple con los valores de 0-10 ppm para Cloro Libre y 6,8 a 8,2 para el pH.Incluye reactivos en tabletas para 30 pruebas de cada variable y comparador de Cloro residual y pH. Marca LaMotte.","Certificado ISO",assets/img/catalogo/comparador-de-cloro.webp,,,"from-[#1A3A2F] to-[#2d6a4f]",1,15
"Clarifier Cap",clarifier-cap,"Producto líquido viscoso tipo gel, elaborado a base de polímeros orgánicos – Poliacrilatos aniónicos, disuelto en agua. Al emplearlo en la dosificación recomendada, tiene una acción muy rápida y eficaz de floculación, sedimentación y clarificación de la turbidez del agua",Importado,assets/img/catalogo/clarifier-cap.webp,,,"from-[#0a1a0a] to-[#1a3a1a]",1,14
"Chemflox Fi",chemflox-fi,"Producto sólido granulado coagulante, clarificante de aguas turbias superficiales. Con agentes reguladores de pH.",Nacional,assets/img/catalogo/chemflox-fi.webp,,,"from-[#4a3800] to-[#7a5c00]",1,13
"Carbon Activado",carbon-activado,"Producido a partir de carbón bituminoso, activado mediante temperatura y vapor de agua. Es utilizado como medio filtrante para remover materia orgánica causante de color, mal olor y sabor del agua. Asimismo tiene como principal propiedad la remoción de cloro residual del agua. Carbón activado granular se emplea para la eliminación de compuestos orgánicos disueltos del agua y las aguas residuales también como corrientes industriales y de procesamiento de alimentos.",Importado,assets/img/catalogo/carbon-activado.webp,Nuevo,purple,"from-[#1a2a1a] to-[#2d4a2d]",1,12
Briltphos,briltphos,"Producto líquido limpiador, desengrasante, desoxidante y abrillantador de todo material en acero inoxidable.","Certificado ISO",assets/img/catalogo/briltphos.webp,Nuevo,teal,"from-[#1a0a0a] to-[#3a1a0a]",1,11
"Bomba Para Osmosis 100 200 Gpd",bomba-para-osmosis-100-200-gpd,"La bomba de Refuerzo BP – 01 100/200 GPD HIDROTEK está diseñado para un sistema de almacenamiento hidroneumático, sistema de osmosis inversa, entre otras aplicaciones con el propósito de aumento de presión de agua. Esta bomba de agua proporciona una entrada fiable para que la membrana trabaje de forma eficiente. Es capaz de trabajar continuamente y eficaz para el aumento de presión y la transferencia de líquidos.",Importado,assets/img/catalogo/bomba-para-osmosis-100-200-gpd.webp,,,"from-[#0d2137] to-[#1a3a5c]",1,10
"Bomba De Refuerzo Para Osmosis Goulds",bomba-de-refuerzo-para-osmosis-goulds,"Esta es una bomba portátil horizontal de múltiples etapas diseñada con cabezal de descarga y succión de acero inoxidable por lo que es ideal para aplicaciones de HVAC, comercio general, ósmosis inversa y filtración. El diseño de varias etapas proporciona un funcionamiento estable, silencioso y sin vibraciones. De acero inoxidable para aplicaciones de filtración. Sellado confiable de junta tórica de alta presión con fácil desmontaje para mantenimiento o reparación",Nacional,assets/img/catalogo/bomba-de-refuerzo-para-osmosis-goulds.webp,,,"from-[#4a3800] to-[#7a5c00]",1,9
"Bomba De Agua Multietapa Vertical Cnp",bomba-de-agua-multietapa-vertical-cnp,"La bomba de agua multietapa vertical CDM/CDMF son de nueva generación. Con alta eficiencia, multietapa vertical no autocebante bombas centrífugas. Además, tiene un diseño industrial completamente nuevo. Por ello, la bomba trabaja con ahorro de energía, bajo ruido, respetuoso con el medio ambiente, diseño compacto, hermosa forma, ligero, fácil de mantener, alta fiabilidad. Es adecuado para líquidos no corrosivos.",Nacional,assets/img/catalogo/bomba-de-agua-multietapa-vertical-cnp.webp,,,"from-[#1a2a4a] to-[#2d4a7a]",1,8
"Bioperoxi Dph",bioperoxi-dph,"Poderoso desinfectante, bactericida, germicida y fungicida de amplio espectro, formulado a base de Peróxidos, así como iones de Plata (Ag+), donde el Peróxido de Hidrógeno es el más influyente (H2O2). Tiene una alta concentración y es muy activo contra los microorganismos patógenos diversos. ENVASE x 20 y 35 KILOS","Certificado ISO",assets/img/catalogo/bioperoxi-dph.webp,,,"from-[#4a3800] to-[#7a5c00]",1,7
"Base Y Soporte Para Porta Filtros",base-y-soporte-para-porta-filtros,"Las ménsulas, base o soportes para filtros son utilizadas para fijar a la pared o a alguna superficie para los porta cartuchos de tratamiento de agua. Compatibles con amplia variedad de porta filtros o carcasas. Se utilizan en porta cartuchos para cartucho estándar de 2.5? o Big Blue de 4.5? (BB). Disponible en marcas PENTEK, HIDROTEK e HYDRONIX.",Nacional,assets/img/catalogo/base-y-soporte-para-porta-filtros.webp,,,"from-[#1a0a0a] to-[#3a1a0a]",1,6
"Arena De Cuarzo",arena-de-cuarzo,"Es uno de los primeros materiales filtrantes utilizados. Se utiliza como medio filtrante en los filtros de grava y arena. Asimismo es el segundo componente de los filtros multimedia (o lecho profundo).",Nacional,assets/img/catalogo/arena-de-cuarzo.webp,Nuevo,green,"from-[#2a1a2a] to-[#4a2a4a]",1,5
Antracita,antracita,"Carbón mineral de muy alta dureza utilizado por muchos años en el tratamiento del agua, en los procesos de filtración multimedia. Es el primer componente de los filtros multimedia (o lecho profundo). Antracita es un material filtrante de origen mineral, con altos grados de carbono, completamente libre de impurezas. Es insoluble en agua y mecánicamente resistente a abrasión. En comparación con un filtro de arena, este medio filtrante permite un desempeño en el filtro de mayor flujo, menos caída de presión y un mejor y rápido retro lavado.",Nacional,assets/img/catalogo/antracita.webp,,,"from-[#1a2a1a] to-[#2d4a2d]",1,4
"Alka Ph",alka-ph,"Producto líquido elevador del pH en aguas. Formulado a base de sales alcalinas, de fácil manejo, indispensable para un óptimo tratamiento de agua y para evitar las molestias debidas a desajustes del pH. Permite aumentar y regular el pH del agua cuando este sea inferior al rango de 7.0 –7.5.","Certificado ISO",assets/img/catalogo/alka-ph.webp,,,"from-[#0a1a1a] to-[#1a3a3a]",1,3
"Algisint 25ac",algisint-25ac,"Producto líquido empleado para el control de algas. Formulada a base de sales de amonio cuaternario de “primera generación”, el cual tiene un gran poder germicida sobre una amplia variedad de microorganismos, bacterias, hongos, algas y virus.",Importado,assets/img/catalogo/algisint-25ac.webp,,,"from-[#1a0a0a] to-[#3a1a0a]",1,2
"Abrillantador De Envases Plasticos Briltplast",abrillantador-de-envases-plasticos-briltplast,"Producto líquido abrillantador de envases plásticos PET, PVC o policarbonato donde se almacena y traslada agua de mesa para consumo humano. ENVASE x 1.00 y 5.00 Galones",Nacional,assets/img/catalogo/abrillantador-de-envases-plasticos-briltplast.webp,,,"from-[#0a1a1a] to-[#1a3a3a]",1,1
"Ablandadores De Agua",ablandadores-de-agua,"Nuestros sistemas de intercambio iónico permiten eliminar iones de calcio y magnesio, responsables de la dureza del agua, reemplazándolos por iones sodio, realizando operaciones de regeneración en forma manual o automática. Básicamente, el proceso de intercambio se produce sobre la superficie de una resina polimérica, cuando esta última queda saturada, es decir, cuando todos los iones sodio son intercambiados por los iones calcio y magnesio presentes en el agua de alimentación, debe ser regenerada a través del pasaje de una mezcla formada por cloruro de sodio (NaCl) y agua, comúnmente denominada ""salmuera"". Este proceso previene la formación y el depósito de sarro en grifería, cañerías, termo tanques, calderas, electrodomésticos y maquinarias que este en contacto con el agua, protegiéndolos y prolongando su vida útil.",Importado,assets/img/catalogo/ablandadores-de-agua.webp,,,"from-[#1a2a1a] to-[#2d4a2d]",1,0
